Biome,Lat_Long
Tropical seasonal forest/savanna,-31.6608333_-60.586666666666666
Woodland/shrubland,33.18799_-81.638943
Woodland/shrubland,33.167722_-81.630115
Temperate forest,50.183333_-98.316667
Temperate forest,35.95947_-84.28041
Temperate forest,42.716667_141.6
Temperate forest,42.716667_141.7
Temperate forest,42.716667_141.8
Temperate forest,42.716667_141.9
Temperate forest,42.716667_141.10
Temperate forest,42.716667_141.11
Temperate forest,42.716667_141.12
Temperate forest,42.716667_141.13
Woodland/shrubland,35.033333_-111.716667
Temperate forest,31.233333_102.883333
Tropical seasonal forest/savanna,-14.071667_ 131.953333
Tropical seasonal forest/savanna,-14.170000_ 132.118333
Woodland/shrubland,32.066667_118.866667
Temperate forest,-37.759_175.109
Tropical seasonal forest/savanna,18.166111_-88.524444
Temperate rain forest,49.318_-122.553
Temperate forest,45.57_-84.75
Tropical seasonal forest/savanna,31.609348_-97.307882
Tropical seasonal forest/savanna,-27.500000_32.250012
Temperate forest,35.059807_-83.430569
Temperate grassland/desert,42.65_-114.6333
Temperate forest,47.275486_8.218020
Tropical seasonal forest/savanna,26.493333_ -80.216667
Temperate forest,59.91_-151.49
Temperate forest,59.78_-151.55
Temperate forest,59.86_-151.66
Temperate forest,60.05_-151.34
Temperate forest,60.05_-151.63
Temperate forest,59.84_-151.78
Tropical seasonal forest/savanna,24.75_121.56
Tropical seasonal forest/savanna,12.800000_74.916667
Tropical rain forest,10.433333_-84.016667
Temperate forest,47.583333_133.516667
Tropical seasonal forest/savanna,-21.650000_-41.183333
Woodland/shrubland,24.866667_102.650000
Temperate forest,34.432534_-89.389323
Tropical seasonal forest/savanna,10.6958333_-9.4825
Tropical seasonal forest/savanna,10.5036111_-9.47
Temperate forest,42.08055556_-75.98611111
Temperate forest,45.546350_-84.752967
Woodland/shrubland,51.139865_3.336486
Woodland/shrubland,42.396888_-84.065646
Woodland/shrubland,42.40833_-83.80833
Temperate forest,43.492_141.423
Tropical seasonal forest/savanna,-27.937694_152.770300
Tropical seasonal forest/savanna,27.42611_-80.40944
